 ,Nama Sekolah,NPSN,BP,Status,Last Sync,Jml Sync,PD,Rombel,Guru,Pegawai,R. Kelas,R. Lab,R. Perpus,Klaster
19,SMA UNGGULAN NURUL ISLAMI,20328871.0,SMA,Swasta,14 Aug 2024 10:35:32,26,154.0,6,15,7,7,5,1,0.0
23,SMA AT THOHIRIYYAH,20328924.0,SMA,Swasta,14 Aug 2024 14:06:26,21,109.0,5,8,3,5,5,1,0.0
24,SMA MASEHI 2 PSAK,20331907.0,SMA,Swasta,07 Aug 2024 13:09:25,29,89.0,5,14,1,5,6,1,0.0
25,SMA PGRI 1,20328929.0,SMA,Swasta,09 Aug 2024 10:00:55,15,243.0,8,19,2,9,3,1,0.0
26,SMAIT HARAPAN BUNDA,70010776.0,SMA,Swasta,25 Jul 2024 11:23:31,30,121.0,6,17,2,7,4,1,0.0
29,SMA Daniel Creative Semarang,69989941.0,SMA,Swasta,30 Jul 2024 13:53:42,52,92.0,4,17,4,6,3,1,0.0
31,SMA Islam Al Azhar 15,69943795.0,SMA,Swasta,24 Jul 2024 11:44:57,17,127.0,6,11,4,6,5,1,0.0
32,SMA KESATRIAN 1,20331903.0,SMA,Swasta,02 Aug 2024 09:15:35,18,627.0,21,39,18,29,6,1,1.0
33,SMA KRISTA MITRA,20328914.0,SMA,Swasta,14 Aug 2024 14:27:11,12,207.0,8,22,6,14,5,1,0.0
34,SMA KRISTEN TERANG BANGSA,20332522.0,SMA,Swasta,08 Aug 2024 08:05:01,14,248.0,9,13,4,27,8,1,0.0
35,SMA NASIMA,20332523.0,SMA,Swasta,31 Jul 2024 14:44:26,18,185.0,6,20,8,10,6,1,0.0
36,SMA NUSA BHAKTI,20328934.0,SMA,Swasta,07 Aug 2024 10:09:24,20,21.0,2,3,2,6,3,1,0.0
38,SMA SETIABUDHI,20328877.0,SMA,Swasta,14 Aug 2024 14:44:30,12,168.0,6,10,4,9,2,1,0.0
40,SMA KRISTEN TRITUNGGAL,20331905.0,SPK SMA,Swasta,08 Aug 2024 11:38:25,9,428.0,13,29,8,22,5,1,1.0
43,SMA ISLAM SULTAN AGUNG 1,20328918.0,SMA,Swasta,25 Jul 2024 14:54:44,24,943.0,27,57,16,35,10,1,1.0
44,SMA SEDES SAPIENTIAE,20328913.0,SMA,Swasta,11 Aug 2024 22:09:03,40,831.0,25,45,25,30,7,1,1.0
45,SMA SEPULUH NOVEMBER,20331912.0,SMA,Swasta,29 Jul 2024 06:59:48,6,20.0,3,2,1,3,1,1,0.0
48,SMAS KEBON DALEM,20331902.0,SMA,Swasta,13 Aug 2024 14:45:13,19,40.0,3,7,6,16,5,1,0.0
49,SMAS KOLESE LOYOLA,20328915.0,SMA,Swasta,08 Aug 2024 12:33:58,31,960.0,29,51,9,31,6,1,1.0
50,SMAS MATARAM,20328936.0,SMA,Swasta,12 Aug 2024 10:47:57,17,64.0,4,11,6,7,5,1,0.0
51,SMAS NUSAPUTERA,20328933.0,SMA,Swasta,-,26,126.0,6,15,3,6,5,1,0.0
52,SMAS THERESIANA 1,20331915.0,SMA,Swasta,14 Aug 2024 14:41:29,11,235.0,9,20,4,12,5,1,0.0
53,SMAS WALISONGO,20328870.0,SMA,Swasta,08 Aug 2024 08:31:02,8,83.0,4,9,2,6,3,1,0.0
54,SMA ADVENT,20328938.0,SMA,Swasta,12 Aug 2024 21:26:35,18,44.0,4,5,3,6,3,1,0.0
55,SMA INSTITUT INDONESIA,20331900.0,SMA,Swasta,31 Jul 2024 10:12:27,29,511.0,17,31,8,26,5,1,1.0
56,SMA KRISTEN YSKI,20328925.0,SMA,Swasta,14 Aug 2024 15:11:45,32,410.0,14,23,7,21,5,1,1.0
58,SMA NEGERI 14,20328899.0,SMA,Negeri,14 Aug 2024 13:24:07,43,939.0,27,42,17,27,14,1,1.0
